"ZIP
code [1]",Size of adjusted gross income,Number of returns
45242,"$1 under $25,000",3090
45242,"$25,000 under $50,000",1860
45242,"$50,000 under $75,000",1500
45242,"$75,000 under $100,000",1140
45242,"$100,000 under $200,000",2310
45242,"$200,000 or more",1680
,,
45243,,"7,560"
45243,"$1 under $25,000",1860
45243,"$25,000 under $50,000",900
45243,"$50,000 under $75,000",730
45243,"$75,000 under $100,000",660
45243,"$100,000 under $200,000",1470
45243,"$200,000 or more",1940
,,
45244,,"14,010"
45244,"$1 under $25,000",4200
45244,"$25,000 under $50,000",2580
45244,"$50,000 under $75,000",1670
45244,"$75,000 under $100,000",1260
45244,"$100,000 under $200,000",2630
45244,"$200,000 or more",1670
,,
45245,,"9,940"
45245,"$1 under $25,000",3060
45245,"$25,000 under $50,000",2580
45245,"$50,000 under $75,000",1530
45245,"$75,000 under $100,000",1030
45245,"$100,000 under $200,000",1340
45245,"$200,000 or more",400
,,
45246,,"7,870"
45246,"$1 under $25,000",2730
45246,"$25,000 under $50,000",2370
45246,"$50,000 under $75,000",1190
45246,"$75,000 under $100,000",620
45246,"$100,000 under $200,000",690
45246,"$200,000 or more",270
,,
45247,,"12,710"
45247,"$1 under $25,000",3570
45247,"$25,000 under $50,000",2790
45247,"$50,000 under $75,000",1910
45247,"$75,000 under $100,000",1460
45247,"$100,000 under $200,000",2240
45247,"$200,000 or more",740
,,
45248,,"13,180"
45248,"$1 under $25,000",3830
45248,"$25,000 under $50,000",3300
45248,"$50,000 under $75,000",2230
45248,"$75,000 under $100,000",1470
45248,"$100,000 under $200,000",1850
45248,"$200,000 or more",500
,,
45249,,"6,770"
45249,"$1 under $25,000",1880
45249,"$25,000 under $50,000",1100
45249,"$50,000 under $75,000",840
45249,"$75,000 under $100,000",650
45249,"$100,000 under $200,000",1260
45249,"$200,000 or more",1040
,,
45251,,"11,310"
45251,"$1 under $25,000",4090
45251,"$25,000 under $50,000",3410
45251,"$50,000 under $75,000",1720
45251,"$75,000 under $100,000",990
45251,"$100,000 under $200,000",1000
45251,"$200,000 or more",100
,,
45252,,"2,630"
45252,"$1 under $25,000",710
45252,"$25,000 under $50,000",550
45252,"$50,000 under $75,000",410
45252,"$75,000 under $100,000",310
45252,"$100,000 under $200,000",490
45252,"$200,000 or more",160
,,
45255,,"11,300"
45255,"$1 under $25,000",3310
45255,"$25,000 under $50,000",2380
45255,"$50,000 under $75,000",1660
45255,"$75,000 under $100,000",1200
45255,"$100,000 under $200,000",1970
45255,"$200,000 or more",780
,,
45302,,"2,130"
45302,"$1 under $25,000",620
45302,"$25,000 under $50,000",470
45302,"$50,000 under $75,000",400
45302,"$75,000 under $100,000",280
45302,"$100,000 under $200,000",320
45302,"$200,000 or more",40
,,
45303,,"1,030"
45303,"$1 under $25,000",380
45303,"$25,000 under $50,000",320
45303,"$50,000 under $75,000",160
45303,"$75,000 under $100,000",90
45303,"$100,000 under $200,000",80
45303,"$200,000 or more",**
,,
45304,,"3,430"
45304,"$1 under $25,000",1120
45304,"$25,000 under $50,000",920
45304,"$50,000 under $75,000",640
45304,"$75,000 under $100,000",360
45304,"$100,000 under $200,000",350
45304,"$200,000 or more",40
,,
45305,,"5,630"
45305,"$1 under $25,000",1600
45305,"$25,000 under $50,000",980
45305,"$50,000 under $75,000",830
45305,"$75,000 under $100,000",650
45305,"$100,000 under $200,000",1210
45305,"$200,000 or more",360
,,
45306,,"1,120"
45306,"$1 under $25,000",320
45306,"$25,000 under $50,000",310
45306,"$50,000 under $75,000",220
45306,"$75,000 under $100,000",140
45306,"$100,000 under $200,000",110
45306,"$200,000 or more",20
,,
45308,,"2,160"
45308,"$1 under $25,000",720
45308,"$25,000 under $50,000",700
45308,"$50,000 under $75,000",350
45308,"$75,000 under $100,000",210
45308,"$100,000 under $200,000",150
45308,"$200,000 or more",30
,,
45309,,"5,920"
45309,"$1 under $25,000",1930
45309,"$25,000 under $50,000",1510
45309,"$50,000 under $75,000",1000
45309,"$75,000 under $100,000",620
45309,"$100,000 under $200,000",730
45309,"$200,000 or more",130
,,
45311,,"2,610"
45311,"$1 under $25,000",970
45311,"$25,000 under $50,000",740
45311,"$50,000 under $75,000",400
45311,"$75,000 under $100,000",250
45311,"$100,000 under $200,000",220
45311,"$200,000 or more",30
,,
45312,,780
45312,"$1 under $25,000",230
45312,"$25,000 under $50,000",190
45312,"$50,000 under $75,000",140
45312,"$75,000 under $100,000",100
45312,"$100,000 under $200,000",120
45312,"$200,000 or more",**
,,
45314,,"1,620"
45314,"$1 under $25,000",600
45314,"$25,000 under $50,000",310
45314,"$50,000 under $75,000",230
45314,"$75,000 under $100,000",190
45314,"$100,000 under $200,000",260
45314,"$200,000 or more",30
,,
45315,,"2,420"
45315,"$1 under $25,000",700
45315,"$25,000 under $50,000",480
45315,"$50,000 under $75,000",400
45315,"$75,000 under $100,000",340
45315,"$100,000 under $200,000",410
45315,"$200,000 or more",90
,,
45317,,510
45317,"$1 under $25,000",160
45317,"$25,000 under $50,000",150
45317,"$50,000 under $75,000",90
45317,"$75,000 under $100,000",60
45317,"$100,000 under $200,000",50
45317,"$200,000 or more",**
,,
45318,,"2,580"
45318,"$1 under $25,000",820
45318,"$25,000 under $50,000",740
45318,"$50,000 under $75,000",440
45318,"$75,000 under $100,000",280
45318,"$100,000 under $200,000",260
45318,"$200,000 or more",40
,,
45320,,"7,220"
45320,"$1 under $25,000",2530
45320,"$25,000 under $50,000",1990
45320,"$50,000 under $75,000",1210
45320,"$75,000 under $100,000",780
45320,"$100,000 under $200,000",610
45320,"$200,000 or more",100
,,
45321,,420
45321,"$1 under $25,000",140
45321,"$25,000 under $50,000",140
45321,"$50,000 under $75,000",80
45321,"$75,000 under $100,000",40
45321,"$100,000 under $200,000",20
45321,"$200,000 or more",**
,,
45322,,"10,740"
45322,"$1 under $25,000",3420
45322,"$25,000 under $50,000",3070
45322,"$50,000 under $75,000",1890
45322,"$75,000 under $100,000",1190
45322,"$100,000 under $200,000",1060
45322,"$200,000 or more",110
,,
45323,,"2,680"
45323,"$1 under $25,000",820
45323,"$25,000 under $50,000",700
45323,"$50,000 under $75,000",470
45323,"$75,000 under $100,000",320
45323,"$100,000 under $200,000",330
45323,"$200,000 or more",40
,,
45324,,"17,750"
45324,"$1 under $25,000",7010
45324,"$25,000 under $50,000",4720
45324,"$50,000 under $75,000",2660
45324,"$75,000 under $100,000",1560
45324,"$100,000 under $200,000",1650
45324,"$200,000 or more",150
,,
45325,,"1,190"
45325,"$1 under $25,000",340
45325,"$25,000 under $50,000",290
45325,"$50,000 under $75,000",220
45325,"$75,000 under $100,000",150
45325,"$100,000 under $200,000",190
45325,"$200,000 or more",**
,,
45326,,590
45326,"$1 under $25,000",210
45326,"$25,000 under $50,000",140
45326,"$50,000 under $75,000",100
45326,"$75,000 under $100,000",70
45326,"$100,000 under $200,000",70
45326,"$200,000 or more",**
,,
45327,,"4,340"
45327,"$1 under $25,000",1380
45327,"$25,000 under $50,000",1050
45327,"$50,000 under $75,000",790
45327,"$75,000 under $100,000",500
45327,"$100,000 under $200,000",540
45327,"$200,000 or more",80
,,
45331,,"10,970"
45331,"$1 under $25,000",4230
45331,"$25,000 under $50,000",3450
45331,"$50,000 under $75,000",1590
45331,"$75,000 under $100,000",860
45331,"$100,000 under $200,000",700
45331,"$200,000 or more",140
,,
45332,,250
45332,"$1 under $25,000",100
45332,"$25,000 under $50,000",70
45332,"$50,000 under $75,000",40
45332,"$75,000 under $100,000",40
45332,"$100,000 under $200,000",**
45332,"$200,000 or more",**
,,
45333,,700
45333,"$1 under $25,000",240
45333,"$25,000 under $50,000",200
45333,"$50,000 under $75,000",110
45333,"$75,000 under $100,000",80
45333,"$100,000 under $200,000",70
45333,"$200,000 or more",**
,,
45334,,980
45334,"$1 under $25,000",280
45334,"$25,000 under $50,000",280
45334,"$50,000 under $75,000",190
45334,"$75,000 under $100,000",120
45334,"$100,000 under $200,000",110
45334,"$200,000 or more",**
,,
45335,,"3,390"
45335,"$1 under $25,000",1080
45335,"$25,000 under $50,000",870
45335,"$50,000 under $75,000",580
45335,"$75,000 under $100,000",410
45335,"$100,000 under $200,000",400
45335,"$200,000 or more",50
,,
45337,,840
45337,"$1 under $25,000",260
45337,"$25,000 under $50,000",200
45337,"$50,000 under $75,000",170
45337,"$75,000 under $100,000",110
45337,"$100,000 under $200,000",100
45337,"$200,000 or more",**
,,
45338,,"2,530"
45338,"$1 under $25,000",900
45338,"$25,000 under $50,000",700
45338,"$50,000 under $75,000",430
45338,"$75,000 under $100,000",250
45338,"$100,000 under $200,000",220
45338,"$200,000 or more",30
,,
45339,,630
45339,"$1 under $25,000",180
45339,"$25,000 under $50,000",170
45339,"$50,000 under $75,000",120
45339,"$75,000 under $100,000",70
45339,"$100,000 under $200,000",90
45339,"$200,000 or more",**
,,
45340,,400
45340,"$1 under $25,000",120
45340,"$25,000 under $50,000",100
45340,"$50,000 under $75,000",80
45340,"$75,000 under $100,000",60
45340,"$100,000 under $200,000",40
45340,"$200,000 or more",**
,,
45341,,"1,750"
45341,"$1 under $25,000",710
45341,"$25,000 under $50,000",490
45341,"$50,000 under $75,000",290
45341,"$75,000 under $100,000",150
45341,"$100,000 under $200,000",110
45341,"$200,000 or more",**
,,
45342,,"17,830"
45342,"$1 under $25,000",5920
45342,"$25,000 under $50,000",4540
45342,"$50,000 under $75,000",2990
45342,"$75,000 under $100,000",1860
45342,"$100,000 under $200,000",2200
45342,"$200,000 or more",320
,,
45344,,"7,940"
45344,"$1 under $25,000",2850
45344,"$25,000 under $50,000",2250
45344,"$50,000 under $75,000",1240
45344,"$75,000 under $100,000",760
45344,"$100,000 under $200,000",730
45344,"$200,000 or more",110
,,
45345,,"2,800"
45345,"$1 under $25,000",1060
45345,"$25,000 under $50,000",830
45345,"$50,000 under $75,000",450
45345,"$75,000 under $100,000",250
45345,"$100,000 under $200,000",210
45345,"$200,000 or more",**
,,
45346,,"1,060"
45346,"$1 under $25,000",360
45346,"$25,000 under $50,000",320
45346,"$50,000 under $75,000",180
45346,"$75,000 under $100,000",110
45346,"$100,000 under $200,000",90
45346,"$200,000 or more",**
,,
45347,,"1,970"
45347,"$1 under $25,000",770
45347,"$25,000 under $50,000",550
45347,"$50,000 under $75,000",320
45347,"$75,000 under $100,000",190
45347,"$100,000 under $200,000",140
45347,"$200,000 or more",**
,,
45348,,420
45348,"$1 under $25,000",140
45348,"$25,000 under $50,000",130
45348,"$50,000 under $75,000",70
45348,"$75,000 under $100,000",40
45348,"$100,000 under $200,000",40
45348,"$200,000 or more",**
,,
45356,,"12,070"
45356,"$1 under $25,000",4750
45356,"$25,000 under $50,000",3660
45356,"$50,000 under $75,000",1730
45356,"$75,000 under $100,000",970
45356,"$100,000 under $200,000",800
45356,"$200,000 or more",160
,,
45359,,930
45359,"$1 under $25,000",280
45359,"$25,000 under $50,000",260
45359,"$50,000 under $75,000",180
45359,"$75,000 under $100,000",110
45359,"$100,000 under $200,000",100
45359,"$200,000 or more",**
,,
45362,,530
45362,"$1 under $25,000",150
45362,"$25,000 under $50,000",180
45362,"$50,000 under $75,000",90
45362,"$75,000 under $100,000",60
45362,"$100,000 under $200,000",50
45362,"$200,000 or more",**
,,
45363,,860
45363,"$1 under $25,000",260
45363,"$25,000 under $50,000",220
45363,"$50,000 under $75,000",140
45363,"$75,000 under $100,000",110
45363,"$100,000 under $200,000",100
45363,"$200,000 or more",30
,,
45365,,"14,450"
45365,"$1 under $25,000",5340
45365,"$25,000 under $50,000",4400
45365,"$50,000 under $75,000",2180
45365,"$75,000 under $100,000",1200
45365,"$100,000 under $200,000",1110
45365,"$200,000 or more",220
,,
45368,,"2,330"
45368,"$1 under $25,000",780
45368,"$25,000 under $50,000",620
45368,"$50,000 under $75,000",390
45368,"$75,000 under $100,000",240
45368,"$100,000 under $200,000",270
45368,"$200,000 or more",30
,,
45369,,"1,730"
45369,"$1 under $25,000",540
45369,"$25,000 under $50,000",450
45369,"$50,000 under $75,000",280
45369,"$75,000 under $100,000",220
45369,"$100,000 under $200,000",210
45369,"$200,000 or more",30
,,
45370,,"1,160"
45370,"$1 under $25,000",330
45370,"$25,000 under $50,000",210
45370,"$50,000 under $75,000",160
45370,"$75,000 under $100,000",130
45370,"$100,000 under $200,000",200
45370,"$200,000 or more",130
,,
45371,,"10,390"
45371,"$1 under $25,000",3100
45371,"$25,000 under $50,000",2180
45371,"$50,000 under $75,000",1670
45371,"$75,000 under $100,000",1250
45371,"$100,000 under $200,000",1800
45371,"$200,000 or more",390
,,
45373,,"17,280"
45373,"$1 under $25,000",5510
45373,"$25,000 under $50,000",4400
45373,"$50,000 under $75,000",2690
45373,"$75,000 under $100,000",1910
45373,"$100,000 under $200,000",2260
45373,"$200,000 or more",510
,,
45377,,"7,890"
45377,"$1 under $25,000",2550
45377,"$25,000 under $50,000",2140
45377,"$50,000 under $75,000",1270
45377,"$75,000 under $100,000",770
45377,"$100,000 under $200,000",990
45377,"$200,000 or more",170
,,
45380,,"2,680"
45380,"$1 under $25,000",860
45380,"$25,000 under $50,000",690
45380,"$50,000 under $75,000",480
45380,"$75,000 under $100,000",290
45380,"$100,000 under $200,000",300
45380,"$200,000 or more",60
,,
45381,,"2,520"
45381,"$1 under $25,000",870
45381,"$25,000 under $50,000",690
45381,"$50,000 under $75,000",440
45381,"$75,000 under $100,000",280
45381,"$100,000 under $200,000",220
45381,"$200,000 or more",20
,,
45382,,520
45382,"$1 under $25,000",180
45382,"$25,000 under $50,000",140
45382,"$50,000 under $75,000",100
45382,"$75,000 under $100,000",60
45382,"$100,000 under $200,000",40
45382,"$200,000 or more",**
,,
45383,,"3,310"
45383,"$1 under $25,000",1180
45383,"$25,000 under $50,000",970
45383,"$50,000 under $75,000",540
45383,"$75,000 under $100,000",310
45383,"$100,000 under $200,000",280
45383,"$200,000 or more",30
,,
45385,,"18,170"
45385,"$1 under $25,000",6600
45385,"$25,000 under $50,000",4470
45385,"$50,000 under $75,000",2670
45385,"$75,000 under $100,000",1660
45385,"$100,000 under $200,000",2140
45385,"$200,000 or more",630
,,
45387,,"2,880"
45387,"$1 under $25,000",900
45387,"$25,000 under $50,000",600
45387,"$50,000 under $75,000",440
45387,"$75,000 under $100,000",300
45387,"$100,000 under $200,000",500
45387,"$200,000 or more",140
,,
45388,,360
45388,"$1 under $25,000",100
45388,"$25,000 under $50,000",100
45388,"$50,000 under $75,000",50
45388,"$75,000 under $100,000",50
45388,"$100,000 under $200,000",60
45388,"$200,000 or more",**
,,
45390,,"1,370"
45390,"$1 under $25,000",600
45390,"$25,000 under $50,000",410
45390,"$50,000 under $75,000",210
45390,"$75,000 under $100,000",70
45390,"$100,000 under $200,000",80
45390,"$200,000 or more",**
,,
45402,,"4,350"
45402,"$1 under $25,000",2270
45402,"$25,000 under $50,000",1150
45402,"$50,000 under $75,000",450
45402,"$75,000 under $100,000",190
45402,"$100,000 under $200,000",220
45402,"$200,000 or more",70
,,
45403,,"5,570"
45403,"$1 under $25,000",3080
45403,"$25,000 under $50,000",1710
45403,"$50,000 under $75,000",480
45403,"$75,000 under $100,000",180
45403,"$100,000 under $200,000",120
45403,"$200,000 or more",**
,,
45404,,"4,090"
45404,"$1 under $25,000",2240
45404,"$25,000 under $50,000",1260
45404,"$50,000 under $75,000",360
45404,"$75,000 under $100,000",130
45404,"$100,000 under $200,000",100
45404,"$200,000 or more",**
,,
45405,,"7,750"
45405,"$1 under $25,000",4240
45405,"$25,000 under $50,000",2270
45405,"$50,000 under $75,000",740
45405,"$75,000 under $100,000",270
45405,"$100,000 under $200,000",190
45405,"$200,000 or more",40
,,
45406,,"8,970"
45406,"$1 under $25,000",5020
45406,"$25,000 under $50,000",2490
45406,"$50,000 under $75,000",810
45406,"$75,000 under $100,000",360
45406,"$100,000 under $200,000",290
45406,"$200,000 or more",**
,,
45409,,"3,070"
45409,"$1 under $25,000",930
45409,"$25,000 under $50,000",700
45409,"$50,000 under $75,000",480
45409,"$75,000 under $100,000",290
45409,"$100,000 under $200,000",480
45409,"$200,000 or more",190
,,
45410,,"6,410"
45410,"$1 under $25,000",3140
45410,"$25,000 under $50,000",1990
45410,"$50,000 under $75,000",770
45410,"$75,000 under $100,000",320
45410,"$100,000 under $200,000",190
45410,"$200,000 or more",**
,,
45414,,"9,980"
45414,"$1 under $25,000",4150
45414,"$25,000 under $50,000",2570
45414,"$50,000 under $75,000",1320
45414,"$75,000 under $100,000",800
45414,"$100,000 under $200,000",890
45414,"$200,000 or more",250
,,
45415,,"6,200"
45415,"$1 under $25,000",2110
45415,"$25,000 under $50,000",1680
45415,"$50,000 under $75,000",1040
45415,"$75,000 under $100,000",620
45415,"$100,000 under $200,000",640
45415,"$200,000 or more",110
,,
45416,,"2,550"
45416,"$1 under $25,000",1280
45416,"$25,000 under $50,000",860
45416,"$50,000 under $75,000",260
45416,"$75,000 under $100,000",110
45416,"$100,000 under $200,000",40
45416,"$200,000 or more",**
,,
45417,,"11,190"
45417,"$1 under $25,000",6760
45417,"$25,000 under $50,000",3110
45417,"$50,000 under $75,000",830
45417,"$75,000 under $100,000",300
45417,"$100,000 under $200,000",190
45417,"$200,000 or more",**
,,
45419,,"8,020"
45419,"$1 under $25,000",2460
45419,"$25,000 under $50,000",1690
45419,"$50,000 under $75,000",1080
45419,"$75,000 under $100,000",800
45419,"$100,000 under $200,000",1350
45419,"$200,000 or more",640
,,
45420,,"12,210"
45420,"$1 under $25,000",4760
45420,"$25,000 under $50,000",3900
45420,"$50,000 under $75,000",2040
45420,"$75,000 under $100,000",910
45420,"$100,000 under $200,000",580
45420,"$200,000 or more",20
,,
45424,,"24,640"
45424,"$1 under $25,000",8400
45424,"$25,000 under $50,000",6770
45424,"$50,000 under $75,000",4170
45424,"$75,000 under $100,000",2520
45424,"$100,000 under $200,000",2560
45424,"$200,000 or more",220
,,
45426,,"7,780"
45426,"$1 under $25,000",3640
45426,"$25,000 under $50,000",2460
45426,"$50,000 under $75,000",930
45426,"$75,000 under $100,000",440
45426,"$100,000 under $200,000",280
45426,"$200,000 or more",30
,,
45429,,"13,980"
45429,"$1 under $25,000",4290
45429,"$25,000 under $50,000",3360
45429,"$50,000 under $75,000",2200
45429,"$75,000 under $100,000",1490
45429,"$100,000 under $200,000",1950
45429,"$200,000 or more",690
,,
45430,,"3,930"
45430,"$1 under $25,000",1010
45430,"$25,000 under $50,000",740
45430,"$50,000 under $75,000",670
45430,"$75,000 under $100,000",540
45430,"$100,000 under $200,000",800
45430,"$200,000 or more",170
,,
45431,,"12,750"
45431,"$1 under $25,000",4020
45431,"$25,000 under $50,000",3260
45431,"$50,000 under $75,000",2080
45431,"$75,000 under $100,000",1370
45431,"$100,000 under $200,000",1710
45431,"$200,000 or more",310
,,
45432,,"7,460"
45432,"$1 under $25,000",2480
45432,"$25,000 under $50,000",1980
45432,"$50,000 under $75,000",1170
45432,"$75,000 under $100,000",760
45432,"$100,000 under $200,000",940
45432,"$200,000 or more",130
,,
45433,,810
45433,"$1 under $25,000",410
45433,"$25,000 under $50,000",160
45433,"$50,000 under $75,000",90
45433,"$75,000 under $100,000",70
45433,"$100,000 under $200,000",80
45433,"$200,000 or more",**
,,
45434,,"6,240"
45434,"$1 under $25,000",1550
45434,"$25,000 under $50,000",860
45434,"$50,000 under $75,000",840
45434,"$75,000 under $100,000",830
45434,"$100,000 under $200,000",1680
45434,"$200,000 or more",480
,,
45439,,"5,350"
45439,"$1 under $25,000",2220
45439,"$25,000 under $50,000",1750
45439,"$50,000 under $75,000",800
45439,"$75,000 under $100,000",340
45439,"$100,000 under $200,000",240
45439,"$200,000 or more",**
,,
45440,,"10,880"
45440,"$1 under $25,000",3240
45440,"$25,000 under $50,000",2420
45440,"$50,000 under $75,000",1660
45440,"$75,000 under $100,000",1310
45440,"$100,000 under $200,000",1820
45440,"$200,000 or more",430
,,
45449,,"9,340"
45449,"$1 under $25,000",3710
45449,"$25,000 under $50,000",2950
45449,"$50,000 under $75,000",1420
45449,"$75,000 under $100,000",710
45449,"$100,000 under $200,000",520
45449,"$200,000 or more",30
,,
45458,,"17,150"
45458,"$1 under $25,000",4490
45458,"$25,000 under $50,000",2850
45458,"$50,000 under $75,000",2460
45458,"$75,000 under $100,000",1950
45458,"$100,000 under $200,000",3740
45458,"$200,000 or more",1660
,,
45459,,"15,020"
45459,"$1 under $25,000",4140
45459,"$25,000 under $50,000",2950
45459,"$50,000 under $75,000",2310
45459,"$75,000 under $100,000",1810
45459,"$100,000 under $200,000",2830
45459,"$200,000 or more",980
,,
45502,,"8,040"
45502,"$1 under $25,000",2360
45502,"$25,000 under $50,000",1820
45502,"$50,000 under $75,000",1390
45502,"$75,000 under $100,000",1030
45502,"$100,000 under $200,000",1240
45502,"$200,000 or more",200
,,
45503,,"15,150"
45503,"$1 under $25,000",5980
45503,"$25,000 under $50,000",4450
45503,"$50,000 under $75,000",2320
45503,"$75,000 under $100,000",1220
45503,"$100,000 under $200,000",1010
45503,"$200,000 or more",170
,,
45504,,"7,500"
45504,"$1 under $25,000",2770
45504,"$25,000 under $50,000",1890
45504,"$50,000 under $75,000",1150
45504,"$75,000 under $100,000",710
45504,"$100,000 under $200,000",780
45504,"$200,000 or more",200
,,
45505,,"8,220"
45505,"$1 under $25,000",4250
45505,"$25,000 under $50,000",2440
45505,"$50,000 under $75,000",850
45505,"$75,000 under $100,000",420
45505,"$100,000 under $200,000",230
45505,"$200,000 or more",30
,,
45506,,"5,550"
45506,"$1 under $25,000",2840
45506,"$25,000 under $50,000",1600
45506,"$50,000 under $75,000",620
45506,"$75,000 under $100,000",270
45506,"$100,000 under $200,000",200
45506,"$200,000 or more",20
,,
45601,,"23,400"
45601,"$1 under $25,000",8960
45601,"$25,000 under $50,000",6410
45601,"$50,000 under $75,000",3700
45601,"$75,000 under $100,000",2040
45601,"$100,000 under $200,000",1950
45601,"$200,000 or more",340
,,
45612,,"1,930"
45612,"$1 under $25,000",830
45612,"$25,000 under $50,000",560
45612,"$50,000 under $75,000",300
45612,"$75,000 under $100,000",130
45612,"$100,000 under $200,000",110
45612,"$200,000 or more",**
,,
45613,,"1,360"
45613,"$1 under $25,000",550
45613,"$25,000 under $50,000",400
45613,"$50,000 under $75,000",190
45613,"$75,000 under $100,000",110
45613,"$100,000 under $200,000",110
45613,"$200,000 or more",**
,,
45614,,"1,810"
45614,"$1 under $25,000",730
45614,"$25,000 under $50,000",480
45614,"$50,000 under $75,000",250
45614,"$75,000 under $100,000",150
45614,"$100,000 under $200,000",170
45614,"$200,000 or more",30
,,
45616,,470
45616,"$1 under $25,000",230
45616,"$25,000 under $50,000",130
45616,"$50,000 under $75,000",60
45616,"$75,000 under $100,000",30
45616,"$100,000 under $200,000",20
45616,"$200,000 or more",**
,,
45619,,"3,350"
45619,"$1 under $25,000",1330
45619,"$25,000 under $50,000",880
45619,"$50,000 under $75,000",520
45619,"$75,000 under $100,000",290
45619,"$100,000 under $200,000",280
45619,"$200,000 or more",50
,,
45620,,390
45620,"$1 under $25,000",160
45620,"$25,000 under $50,000",110
45620,"$50,000 under $75,000",60
45620,"$75,000 under $100,000",30
45620,"$100,000 under $200,000",30
45620,"$200,000 or more",**
,,
45622,,190
45622,"$1 under $25,000",70
45622,"$25,000 under $50,000",60
45622,"$50,000 under $75,000",30
45622,"$75,000 under $100,000",30
45622,"$100,000 under $200,000",**
45622,"$200,000 or more",**
,,
45623,,"1,270"
45623,"$1 under $25,000",520
45623,"$25,000 under $50,000",340
45623,"$50,000 under $75,000",210
45623,"$75,000 under $100,000",100
45623,"$100,000 under $200,000",100
45623,"$200,000 or more",**
,,
45628,,"2,340"
45628,"$1 under $25,000",820
45628,"$25,000 under $50,000",680
45628,"$50,000 under $75,000",400
45628,"$75,000 under $100,000",210
45628,"$100,000 under $200,000",200
45628,"$200,000 or more",30
,,
45629,,"1,180"
45629,"$1 under $25,000",440
45629,"$25,000 under $50,000",320
45629,"$50,000 under $75,000",190
45629,"$75,000 under $100,000",110
45629,"$100,000 under $200,000",120
45629,"$200,000 or more",**
,,
45631,,"6,060"
45631,"$1 under $25,000",2450
45631,"$25,000 under $50,000",1530
45631,"$50,000 under $75,000",890
45631,"$75,000 under $100,000",520
45631,"$100,000 under $200,000",560
45631,"$200,000 or more",110
,,
45634,,740
45634,"$1 under $25,000",320
45634,"$25,000 under $50,000",220
45634,"$50,000 under $75,000",120
45634,"$75,000 under $100,000",50
45634,"$100,000 under $200,000",30
45634,"$200,000 or more",**
,,
45638,,"8,430"
45638,"$1 under $25,000",3640
45638,"$25,000 under $50,000",2350
45638,"$50,000 under $75,000",1140
45638,"$75,000 under $100,000",640
45638,"$100,000 under $200,000",580
45638,"$200,000 or more",80
,,
45640,,"6,710"
45640,"$1 under $25,000",2630
45640,"$25,000 under $50,000",1790
45640,"$50,000 under $75,000",1060
45640,"$75,000 under $100,000",590
45640,"$100,000 under $200,000",530
45640,"$200,000 or more",110
,,
45644,,"1,980"
45644,"$1 under $25,000",670
45644,"$25,000 under $50,000",520
45644,"$50,000 under $75,000",360
45644,"$75,000 under $100,000",220
45644,"$100,000 under $200,000",190
45644,"$200,000 or more",20
,,
45645,,"1,130"
45645,"$1 under $25,000",400
45645,"$25,000 under $50,000",300
45645,"$50,000 under $75,000",190
45645,"$75,000 under $100,000",120
45645,"$100,000 under $200,000",120
45645,"$200,000 or more",**
,,
45646,,150
45646,"$1 under $25,000",70
45646,"$25,000 under $50,000",40
45646,"$50,000 under $75,000",40
45646,"$75,000 under $100,000",**
45646,"$100,000 under $200,000",**
45646,"$200,000 or more",**
,,
45647,,990
45647,"$1 under $25,000",390
45647,"$25,000 under $50,000",280
45647,"$50,000 under $75,000",160
45647,"$75,000 under $100,000",90
45647,"$100,000 under $200,000",70
45647,"$200,000 or more",**
,,
45648,,"4,460"
45648,"$1 under $25,000",1680
45648,"$25,000 under $50,000",1190
45648,"$50,000 under $75,000",720
45648,"$75,000 under $100,000",400
45648,"$100,000 under $200,000",420
45648,"$200,000 or more",50
,,
45650,,140
45650,"$1 under $25,000",80
45650,"$25,000 under $50,000",30
45650,"$50,000 under $75,000",30
45650,"$75,000 under $100,000",**
45650,"$100,000 under $200,000",.
45650,"$200,000 or more",**
,,
45651,,"2,220"
45651,"$1 under $25,000",870
45651,"$25,000 under $50,000",670
45651,"$50,000 under $75,000",340
45651,"$75,000 under $100,000",170
45651,"$100,000 under $200,000",170
45651,"$200,000 or more",**
,,
45652,,"1,260"
45652,"$1 under $25,000",520
45652,"$25,000 under $50,000",290
45652,"$50,000 under $75,000",200
45652,"$75,000 under $100,000",110
45652,"$100,000 under $200,000",140
45652,"$200,000 or more",**
,,
45653,,"1,560"
45653,"$1 under $25,000",530
45653,"$25,000 under $50,000",390
45653,"$50,000 under $75,000",250
45653,"$75,000 under $100,000",180
45653,"$100,000 under $200,000",190
45653,"$200,000 or more",20
,,
45654,,380
45654,"$1 under $25,000",140
45654,"$25,000 under $50,000",120
45654,"$50,000 under $75,000",60
45654,"$75,000 under $100,000",30
45654,"$100,000 under $200,000",30
45654,"$200,000 or more",**
,,
45656,,"2,490"
45656,"$1 under $25,000",1050
45656,"$25,000 under $50,000",720
45656,"$50,000 under $75,000",360
45656,"$75,000 under $100,000",210
45656,"$100,000 under $200,000",150
45656,"$200,000 or more",**
,,
45657,,910
45657,"$1 under $25,000",400
45657,"$25,000 under $50,000",240
45657,"$50,000 under $75,000",130
45657,"$75,000 under $100,000",80
45657,"$100,000 under $200,000",60
45657,"$200,000 or more",**
,,
45658,,910
45658,"$1 under $25,000",360
45658,"$25,000 under $50,000",270
45658,"$50,000 under $75,000",140
45658,"$75,000 under $100,000",70
45658,"$100,000 under $200,000",70
45658,"$200,000 or more",**
,,
45659,,"1,020"
